,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,kingaroy,-26.53,151.83,60.8,77,90,4.7,AU,1602518588
333,tayoltita,24.08,-105.93,82.94,32,66,3.6,MX,1602518588
334,revelstoke,50.98,-118.2,41.0,100,90,2.24,CA,1602518451
335,mackay,-21.15,149.2,73.4,69,40,13.87,AU,1602518390
336,le port,-20.94,55.29,75.2,69,19,10.29,RE,1602518588
337,kargasok,59.06,80.86,38.34,98,100,5.35,RU,1602518588
338,partenit,44.58,34.34,65.52,76,30,5.82,UA,1602518588
339,merauke,-8.47,140.33,79.03,80,100,14.43,ID,1602518588
340,polson,47.69,-114.16,51.01,78,60,4.0,US,1602518445
341,arroyo,41.61,-4.8,64.99,36,0,5.82,ES,1602518589
342,dehloran,32.69,47.27,79.9,15,0,5.59,IR,1602518589
343,xichang,27.9,102.26,64.26,71,99,1.07,CN,1602518589
344,karratha,-20.74,116.85,76.15,52,0,11.01,AU,1602518376
345,khuzdar,27.74,66.64,62.02,23,0,9.82,PK,1602518589
346,meulaboh,4.14,96.13,76.75,85,99,4.56,ID,1602518434
347,dauriya,49.93,116.87,26.22,84,100,12.21,RU,1602518589
348,koungheul,13.98,-14.8,94.89,40,96,5.73,SN,1602518589
349,machali,-34.18,-70.67,79.45,23,0,5.99,CL,1602518446
350,nuuk,64.18,-51.72,33.8,100,75,5.82,GL,1602518369
351,abu dhabi,24.47,54.37,87.8,62,0,12.75,AE,1602518176
352,bassano,50.78,-112.47,35.01,92,90,7.0,CA,1602518589
353,borogontsy,62.67,131.17,30.56,99,100,9.98,RU,1602518589
354,irbil,36.19,44.01,82.4,11,0,4.7,IQ,1602518357
355,vila velha,-20.33,-40.29,75.0,83,90,9.17,BR,1602518384
356,talnakh,69.49,88.4,26.6,92,40,22.37,RU,1602518399
357,wajima,37.4,136.9,67.57,77,62,9.44,JP,1602518388
358,kichera,55.94,110.1,24.6,86,42,5.08,RU,1602518447
359,hambantota,6.12,81.12,78.8,94,20,11.41,LK,1602518389
360,kaeo,-35.1,173.78,62.01,95,93,11.99,NZ,1602518445
361,souillac,-20.52,57.52,71.6,94,75,5.82,MU,1602518371
362,gamba,-2.65,10.0,77.59,82,54,10.83,GA,1602518590
363,oussouye,12.48,-16.55,78.8,94,40,2.24,SN,1602518590
364,portobelo,9.55,-79.65,84.0,79,99,5.01,PA,1602518590
365,huangzhai,38.08,112.66,50.0,61,78,4.47,CN,1602518590
366,hobbs,32.7,-103.14,63.0,23,5,10.29,US,1602518590
367,puerto del rosario,28.5,-13.86,77.0,83,0,11.41,ES,1602518591
368,balykshi,47.07,51.87,60.8,19,0,11.18,KZ,1602518591
369,sugod,12.99,124.08,81.75,82,100,7.25,PH,1602518591
370,jiujiang,29.73,115.98,67.95,64,0,10.69,CN,1602518591
371,hella,67.2,14.43,46.4,87,40,3.36,NO,1602518591
372,pemangkat,1.17,108.97,77.14,86,100,2.39,ID,1602518591
373,beloha,-25.17,45.05,66.52,78,51,10.89,MG,1602518395
374,lorengau,-2.02,147.27,81.79,79,85,6.11,PG,1602518591
375,mantua,45.17,10.78,59.0,72,40,11.41,IT,1602518591
376,mehran,33.12,46.16,73.4,13,0,6.93,IR,1602518591
377,sao jose da coroa grande,-8.9,-35.15,81.99,64,8,10.8,BR,1602518388
378,banjar,-8.19,114.97,78.8,100,75,9.17,ID,1602518591
379,bandraboua,-12.7,45.12,82.4,74,20,4.7,YT,1602518591
380,yurla,59.33,54.32,43.38,72,100,6.58,RU,1602518592
381,marondera,-18.19,31.55,58.26,92,100,7.63,ZW,1602518592
382,tyulyachi,55.89,50.24,51.8,34,62,11.18,RU,1602518592
383,vegachi,6.76,-74.79,80.89,59,69,4.65,CO,1602518592
384,ipixuna,-1.76,-48.8,86.0,66,75,4.7,BR,1602518592
385,auki,-8.77,160.7,78.67,85,99,4.83,SB,1602518592
